[20/Jun/2018:15:53:12 +0800] 218.211.168.176 - - "GET / HTTP/1.0" 362
[26/Jul/2018:01:00:39 +0800] 127.0.0.1 TLSv1.2 ECDHE-RSA-AES256-GCM-SHA384 "GET /sdk/vimServiceVersions.xml HTTP/1.1" 224
[26/Jul/2018:01:00:39 +0800] 127.0.0.1 TLSv1.2 ECDHE-RSA-AES256-GCM-SHA384 "GET /sdk/vimService?wsdl HTTP/1.1" 212
[26/Jul/2018:01:00:39 +0800] 127.0.0.1 TLSv1.2 ECDHE-RSA-AES256-GCM-SHA384 "POST /sdk HTTP/1.1" 201
[26/Jul/2018:08:24:51 +0800] 127.0.0.1 TLSv1.2 ECDHE-RSA-AES256-GCM-SHA384 "GET /sdk/vimServiceVersions.xml HTTP/1.1" 224
[26/Jul/2018:08:24:51 +0800] 127.0.0.1 TLSv1.2 ECDHE-RSA-AES256-GCM-SHA384 "GET /sdk/vimService?wsdl HTTP/1.1" 212
[26/Jul/2018:08:24:51 +0800] 127.0.0.1 TLSv1.2 ECDHE-RSA-AES256-GCM-SHA384 "POST /sdk HTTP/1.1" 201
[26/Jul/2018:08:29:27 +0800] 127.0.0.1 TLSv1.2 ECDHE-RSA-AES256-GCM-SHA384 "GET /sdk/vimServiceVersions.xml HTTP/1.1" 224
[26/Jul/2018:08:29:27 +0800] 127.0.0.1 TLSv1.2 ECDHE-RSA-AES256-GCM-SHA384 "GET /sdk/vimService?wsdl HTTP/1.1" 212
[26/Jul/2018:08:29:27 +0800] 127.0.0.1 TLSv1.2 ECDHE-RSA-AES256-GCM-SHA384 "POST /sdk HTTP/1.1" 201
[26/Jul/2018:13:34:51 +0800] 127.0.0.1 TLSv1.2 ECDHE-RSA-AES256-GCM-SHA384 "GET /sdk/vimServiceVersions.xml HTTP/1.1" 224
[26/Jul/2018:13:34:51 +0800] 127.0.0.1 TLSv1.2 ECDHE-RSA-AES256-GCM-SHA384 "GET /sdk/vimService?wsdl HTTP/1.1" 212
[26/Jul/2018:13:34:51 +0800] 127.0.0.1 TLSv1.2 ECDHE-RSA-AES256-GCM-SHA384 "POST /sdk HTTP/1.1" 201
[29/Jul/2018:13:17:30 +0800] 127.0.0.1 TLSv1.2 ECDHE-RSA-AES256-GCM-SHA384 "GET /sdk/vimServiceVersions.xml HTTP/1.1" 224
[29/Jul/2018:13:17:30 +0800] 127.0.0.1 TLSv1.2 ECDHE-RSA-AES256-GCM-SHA384 "GET /sdk/vimService?wsdl HTTP/1.1" 212
[29/Jul/2018:13:17:30 +0800] 127.0.0.1 TLSv1.2 ECDHE-RSA-AES256-GCM-SHA384 "POST /sdk HTTP/1.1" 201
[29/Jul/2018:13:34:46 +0800] 127.0.0.1 TLSv1.2 ECDHE-RSA-AES256-GCM-SHA384 "GET /sdk/vimServiceVersions.xml HTTP/1.1" 224
[29/Jul/2018:13:34:46 +0800] 127.0.0.1 TLSv1.2 ECDHE-RSA-AES256-GCM-SHA384 "GET /sdk/vimService?wsdl HTTP/1.1" 212
[29/Jul/2018:13:34:46 +0800] 127.0.0.1 TLSv1.2 ECDHE-RSA-AES256-GCM-SHA384 "POST /sdk HTTP/1.1" 201
[29/Jul/2018:15:11:40 +0800] 127.0.0.1 TLSv1.2 ECDHE-RSA-AES256-GCM-SHA384 "GET /sdk/vimServiceVersions.xml HTTP/1.1" 224
[29/Jul/2018:15:11:40 +0800] 127.0.0.1 TLSv1.2 ECDHE-RSA-AES256-GCM-SHA384 "GET /sdk/vimService?wsdl HTTP/1.1" 212
[29/Jul/2018:15:11:40 +0800] 127.0.0.1 TLSv1.2 ECDHE-RSA-AES256-GCM-SHA384 "POST /sdk HTTP/1.1" 201
